关卡ID,关卡名称,宝箱需要时间,每秒产出金币,每秒产出经验,需要战力,怪物模型队列,宝箱奖励ID队列,宝箱奖励权重队列,加速宝箱奖励ID队列,加速宝箱奖励权重队列,事件ID队列,图标ID,Layer1,Layer2,Layer3,Layer4,背景顶部颜色,背景底部颜色,装饰物ID_1,装饰物ID_2,装饰物ID_3,装饰物ID_4,场景ID,关卡描述,事件总时间
52,以太荒原,900,131,142,961000,1152;1128;1127,42401;42402;42403;42411;42412;42414;42511;42512;42520;42521;42522;42516;42528;41543;41544;41545;41546;41547;41548;41549;41550;41551;41552;41553;41554;41555;40543;40544;40545;40546;40547;40548;40549;40550;40551;40552;40553;40554;40555,1041;1041;1041;2666;2666;2666;1500;1500;1500;1500;1500;750;750;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149,42401;42402;42403;42411;42412;42414;42511;42512;42520;42521;42522;42516;42528;41543;41544;41545;41546;41547;41548;41549;41550;41551;41552;41553;41554;41555;40543;40544;40545;40546;40547;40548;40549;40550;40551;40552;40553;40554;40555,3124;3124;3124;2666;2666;2666;1500;1500;1500;1500;1500;750;750;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149,154;155;156,3010,0,3032,3033,3034,#72a6e7,#e8fbd2,3035,3036,3037,3038,3010,以太荒原描述内容,3660
53,以太沙漠,900,136,147,1051000,1154;1059;1127,42401;42402;42403;42404;42405;42406;42411;42412;42414;42511;42512;42520;42521;42522;42516;42528;41546;41547;41548;41549;41550;41551;41552;41553;41554;41555;41556;41557;41558;40546;40547;40548;40549;40550;40551;40552;40553;40554;40555;40556;40557;40558,1041;1041;1041;3000;3000;3000;2666;2666;2666;1500;1500;1500;1500;1500;750;750;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802,42401;42402;42403;42404;42405;42406;42411;42412;42414;42511;42512;42520;42521;42522;42516;42528;41546;41547;41548;41549;41550;41551;41552;41553;41554;41555;41556;41557;41558;40546;40547;40548;40549;40550;40551;40552;40553;40554;40555;40556;40557;40558,3124;3124;3124;3000;3000;3000;2666;2666;2666;1500;1500;1500;1500;1500;750;750;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802,157;158;159,3020,0,3022,3023,3024,#7c1d1f,#d9632b,3025,3026,3027,3028,3020,以太沙漠描述内容,3660
54,无尽沙漠,900,141,150,1131000,1152;1128;1127,42401;42402;42403;42404;42405;42406;42411;42412;42414;42511;42512;42520;42521;42522;42516;42528;41549;41550;41551;41552;41553;41554;41555;41556;41557;41558;41559;41560;41561;40549;40550;40551;40552;40553;40554;40555;40556;40557;40558;40559;40560;40561,1041;1041;1041;3000;3000;3000;2666;2666;2666;1500;1500;1500;1500;1500;750;750;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802,42401;42402;42403;42404;42405;42406;42411;42412;42414;42511;42512;42520;42521;42522;42516;42528;41549;41550;41551;41552;41553;41554;41555;41556;41557;41558;41559;41560;41561;40549;40550;40551;40552;40553;40554;40555;40556;40557;40558;40559;40560;40561,3124;3124;3124;3000;3000;3000;2666;2666;2666;1500;1500;1500;1500;1500;750;750;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802,160;161;162,3050,0,3022,3023,3024,#7c1d1f,#d9632b,3025,3026,3027,3028,3050,无尽沙漠描述内容,3660
55,赤炎山脉,900,144,153,1240000,1154;1059;1127,42401;42402;42403;42411;42412;42414;42512;42520;42521;42522;42516;42528;41552;41553;41554;41555;41556;41557;41558;41559;41560;41561;41562;41563;41564;40552;40553;40554;40555;40556;40557;40558;40559;40560;40561;40562;40563;40564,1041;1041;1041;2666;2666;2666;1875;1875;1875;1875;937;937;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134,42401;42402;42403;42411;42412;42414;42512;42520;42521;42522;42516;42528;41552;41553;41554;41555;41556;41557;41558;41559;41560;41561;41562;41563;41564;40552;40553;40554;40555;40556;40557;40558;40559;40560;40561;40562;40563;40564,3124;3124;3124;2666;2666;2666;1875;1875;1875;1875;937;937;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134,163;164;165,3040,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,3040,赤炎山脉描述内容,3660
56,以太秘境,900,149,158,1340000,1152;1128;1127,42401;42402;42403;42411;42412;42414;42512;42520;42521;42522;42516;42528;41555;41556;41557;41558;41559;41560;41561;41562;41563;41564;41565;41566;41567;40555;40556;40557;40558;40559;40560;40561;40562;40563;40564;40565;40566;40567,1041;1041;1041;2666;2666;2666;1875;1875;1875;1875;937;937;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134,42401;42402;42403;42411;42412;42414;42512;42520;42521;42522;42516;42528;41555;41556;41557;41558;41559;41560;41561;41562;41563;41564;41565;41566;41567;40555;40556;40557;40558;40559;40560;40561;40562;40563;40564;40565;40566;40567,3124;3124;3124;2666;2666;2666;1875;1875;1875;1875;937;937;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134,166;167;168,3010,0,3032,3033,3034,#72a6e7,#e8fbd2,3035,3036,3037,3038,3010,以太秘境描述内容,3660
57,以太平原,900,154,163,1460000,1154;1059;1127,42401;42402;42403;42411;42412;42414;42512;42520;42521;42522;42516;42528;41558;41559;41560;41561;41562;41563;41564;41565;41566;41567;41568;41569;41570;40558;40559;40560;40561;40562;40563;40564;40565;40566;40567;40568;40569;40570,1041;1041;1041;2666;2666;2666;1875;1875;1875;1875;937;937;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134,42401;42402;42403;42411;42412;42414;42512;42520;42521;42522;42516;42528;41558;41559;41560;41561;41562;41563;41564;41565;41566;41567;41568;41569;41570;40558;40559;40560;40561;40562;40563;40564;40565;40566;40567;40568;40569;40570,3124;3124;3124;2666;2666;2666;1875;1875;1875;1875;937;937;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134,169;170;171,3060,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,3060,以太平原描述内容,3660
58,神之秘境,900,157,168,1560000,1152;1128;1127,42401;42402;42403;42411;42412;42414;42520;42521;42522;42535;42516;42528;41561;41562;41563;41564;41565;41566;41567;41568;41569;41570;41571;41572;41573;40561;40562;40563;40564;40565;40566;40567;40568;40569;40570;40571;40572;40573,1041;1041;1041;2666;2666;2666;1875;1875;1875;1875;937;937;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134,42401;42402;42403;42411;42412;42414;42520;42521;42522;42535;42516;42528;41561;41562;41563;41564;41565;41566;41567;41568;41569;41570;41571;41572;41573;40561;40562;40563;40564;40565;40566;40567;40568;40569;40570;40571;40572;40573,3124;3124;3124;2666;2666;2666;1875;1875;1875;1875;937;937;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134,172;173;174,3010,0,3032,3033,3034,#72a6e7,#e8fbd2,3035,3036,3037,3038,3010,神之秘境描述内容,3660
59,众神神殿,900,162,173,1690000,1154;1059;1127,42401;42402;42403;42411;42412;42414;42520;42521;42522;42535;42516;42528;41564;41565;41566;41567;41568;41569;41570;41571;41572;41573;41574;41575;41576;40564;40565;40566;40567;40568;40569;40570;40571;40572;40573;40574;40575;40576,1041;1041;1041;2666;2666;2666;1875;1875;1875;1875;937;937;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134,42401;42402;42403;42411;42412;42414;42520;42521;42522;42535;42516;42528;41564;41565;41566;41567;41568;41569;41570;41571;41572;41573;41574;41575;41576;40564;40565;40566;40567;40568;40569;40570;40571;40572;40573;40574;40575;40576,3124;3124;3124;2666;2666;2666;1875;1875;1875;1875;937;937;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134,175;176;177,3070,0,3002,3003,3004,#92d2f6,#ffffff,3005,3006,3007,3008,3070,众神神殿描述内容,3660
60,以太位面,900,167,178,1860000,1152;1128;1127,42401;42402;42403;42412;42414;42415;42520;42521;42522;42535;42516;42528;41567;41568;41569;41570;41571;41572;41573;41574;41575;41576;41577;41578;41579;40567;40568;40569;40570;40571;40572;40573;40574;40575;40576;40577;40578;40579,1041;1041;1041;2333;2333;2333;1875;1875;1875;1875;937;937;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173,42401;42402;42403;42412;42414;42415;42520;42521;42522;42535;42516;42528;41567;41568;41569;41570;41571;41572;41573;41574;41575;41576;41577;41578;41579;40567;40568;40569;40570;40571;40572;40573;40574;40575;40576;40577;40578;40579,3124;3124;3124;2333;2333;2333;1875;1875;1875;1875;937;937;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173,178;179;180,3000,0,3002,3003,3004,#92d2f6,#ffffff,3005,3006,3007,3008,3000,以太位面描述内容,3660
61,混沌虚无,900,172,183,2000000,1154;1059;1127,42401;42402;42403;42412;42414;42415;42520;42521;42522;42535;42516;42528;41570;41571;41572;41573;41574;41575;41576;41577;41578;41579;41580;41581;41582;40570;40571;40572;40573;40574;40575;40576;40577;40578;40579;40580;40581;40582,1041;1041;1041;2333;2333;2333;1875;1875;1875;1875;500;500;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206,42401;42402;42403;42412;42414;42415;42520;42521;42522;42535;42516;42528;41570;41571;41572;41573;41574;41575;41576;41577;41578;41579;41580;41581;41582;40570;40571;40572;40573;40574;40575;40576;40577;40578;40579;40580;40581;40582,3124;3124;3124;2333;2333;2333;1875;1875;1875;1875;500;500;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206,181;182;183,3060,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,3060,混沌虚无描述内容,3660
62,初始之地,900,175,188,2070000,1152;1128;1127,42401;42402;42403;42404;42405;42406;42412;42414;42415;42520;42521;42522;42535;42516;42528;41570;41571;41572;41573;41574;41575;41576;41577;41578;41579;41580;41581;41582;40570;40571;40572;40573;40574;40575;40576;40577;40578;40579;40580;40581;40582,1041;1041;1041;3000;3000;3000;2333;2333;2333;1875;1875;1875;1875;500;500;860;860;860;860;860;860;860;860;860;860;860;860;860;860;860;860;860;860;860;860;860;860;860;860;860;860,42401;42402;42403;42404;42405;42406;42412;42414;42415;42520;42521;42522;42535;42516;42528;41570;41571;41572;41573;41574;41575;41576;41577;41578;41579;41580;41581;41582;40570;40571;40572;40573;40574;40575;40576;40577;40578;40579;40580;40581;40582,3124;3124;3124;3000;3000;3000;2333;2333;2333;1875;1875;1875;1875;500;500;860;860;860;860;860;860;860;860;860;860;860;860;860;860;860;860;860;860;860;860;860;860;860;860;860;860,184;185;186,3050,0,3022,3023,3024,#7c1d1f,#d9632b,3025,3026,3027,3028,3050,初始之地描述内容,3660
63,初始位面,900,177,193,2142000,1154;1059;1127,42401;42402;42403;42412;42414;42415;42520;42521;42522;42535;42516;42528;41570;41571;41572;41573;41574;41575;41576;41577;41578;41579;41580;41581;41582;40570;40571;40572;40573;40574;40575;40576;40577;40578;40579;40580;40581;40582,1041;1041;1041;2333;2333;2333;1875;1875;1875;1875;500;500;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206,42401;42402;42403;42412;42414;42415;42520;42521;42522;42535;42516;42528;41570;41571;41572;41573;41574;41575;41576;41577;41578;41579;41580;41581;41582;40570;40571;40572;40573;40574;40575;40576;40577;40578;40579;40580;40581;40582,3124;3124;3124;2333;2333;2333;1875;1875;1875;1875;500;500;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206,187;188;189,3070,0,3002,3003,3004,#92d2f6,#ffffff,3005,3006,3007,3008,3070,初始位面描述内容,3660
64,苍蓝平原,900,182,198,2242000,1152;1128;1127,42401;42402;42403;42412;42414;42415;42520;42521;42522;42535;42516;42528;41570;41571;41572;41573;41574;41575;41576;41577;41578;41579;41580;41581;41582;40570;40571;40572;40573;40574;40575;40576;40577;40578;40579;40580;40581;40582,1041;1041;1041;2333;2333;2333;1875;1875;1875;1875;500;500;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206,42401;42402;42403;42412;42414;42415;42520;42521;42522;42535;42516;42528;41570;41571;41572;41573;41574;41575;41576;41577;41578;41579;41580;41581;41582;40570;40571;40572;40573;40574;40575;40576;40577;40578;40579;40580;40581;40582,3124;3124;3124;2333;2333;2333;1875;1875;1875;1875;500;500;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206,190;191;192,3060,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,3060,苍蓝平原描述内容,3660
65,苍蓝之镜,900,185,200,2317000,1154;1059;1127,42401;42402;42403;42412;42414;42415;42520;42521;42522;42535;42516;42528;41573;41574;41575;41576;41577;41578;41579;41580;41581;41582;41583;41584;41585;40573;40574;40575;40576;40577;40578;40579;40580;40581;40582;40583;40584;40585,1041;1041;1041;2333;2333;2333;1875;1875;1875;1875;500;500;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206,42401;42402;42403;42412;42414;42415;42520;42521;42522;42535;42516;42528;41573;41574;41575;41576;41577;41578;41579;41580;41581;41582;41583;41584;41585;40573;40574;40575;40576;40577;40578;40579;40580;40581;40582;40583;40584;40585,3124;3124;3124;2333;2333;2333;1875;1875;1875;1875;500;500;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206,193;194;195,3040,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,3040,苍蓝之镜描述内容,3660
66,苍蓝小径,900,187,202,2409000,1152;1128;1127,42401;42402;42403;42404;42405;42406;42412;42414;42415;42520;42521;42522;42535;42516;42528;41573;41574;41575;41576;41577;41578;41579;41580;41581;41582;41583;41584;41585;40573;40574;40575;40576;40577;40578;40579;40580;40581;40582;40583;40584;40585,1041;1041;1041;1000;1000;1000;2333;2333;2333;1875;1875;1875;1875;500;500;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091,42401;42402;42403;42404;42405;42406;42412;42414;42415;42520;42521;42522;42535;42516;42528;41573;41574;41575;41576;41577;41578;41579;41580;41581;41582;41583;41584;41585;40573;40574;40575;40576;40577;40578;40579;40580;40581;40582;40583;40584;40585,3124;3124;3124;1000;1000;1000;2333;2333;2333;1875;1875;1875;1875;500;500;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091,196;197;198,3060,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,3060,苍蓝小径描述内容,3660
67,冰雪长廊,900,190,207,2512000,1154;1059;1127,42401;42402;42403;42412;42414;42415;42520;42521;42522;42535;42516;42528;41573;41574;41575;41576;41577;41578;41579;41580;41581;41582;41583;41584;41585;40573;40574;40575;40576;40577;40578;40579;40580;40581;40582;40583;40584;40585,1041;1041;1041;2333;2333;2333;1875;1875;1875;1875;500;500;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206,42401;42402;42403;42412;42414;42415;42520;42521;42522;42535;42516;42528;41573;41574;41575;41576;41577;41578;41579;41580;41581;41582;41583;41584;41585;40573;40574;40575;40576;40577;40578;40579;40580;40581;40582;40583;40584;40585,3124;3124;3124;2333;2333;2333;1875;1875;1875;1875;500;500;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206,199;200;201,3040,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,3040,冰雪长廊描述内容,3660
68,冰雪神殿,900,192,212,2597000,1152;1128;1127,42401;42402;42403;42412;42414;42415;42520;42521;42522;42535;42516;42528;41573;41574;41575;41576;41577;41578;41579;41580;41581;41582;41583;41584;41585;40573;40574;40575;40576;40577;40578;40579;40580;40581;40582;40583;40584;40585,1041;1041;1041;2333;2333;2333;1875;1875;1875;1875;500;500;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206,42401;42402;42403;42412;42414;42415;42520;42521;42522;42535;42516;42528;41573;41574;41575;41576;41577;41578;41579;41580;41581;41582;41583;41584;41585;40573;40574;40575;40576;40577;40578;40579;40580;40581;40582;40583;40584;40585,3124;3124;3124;2333;2333;2333;1875;1875;1875;1875;500;500;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206,202;203;204,3082,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,3082,冰雪神殿描述内容,3660
69,冰雪后殿,900,195,216,2699000,1154;1059;1127,42401;42402;42403;42412;42414;42415;42520;42521;42522;42535;42516;42528;41576;41577;41578;41579;41580;41581;41582;41583;41584;41585;41586;41587;41588;40576;40577;40578;40579;40580;40581;40582;40583;40584;40585;40586;40587;40588,1041;1041;1041;2333;2333;2333;1875;1875;1875;1875;500;500;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206,42401;42402;42403;42412;42414;42415;42520;42521;42522;42535;42516;42528;41576;41577;41578;41579;41580;41581;41582;41583;41584;41585;41586;41587;41588;40576;40577;40578;40579;40580;40581;40582;40583;40584;40585;40586;40587;40588,3124;3124;3124;2333;2333;2333;1875;1875;1875;1875;500;500;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206,205;206;207,3040,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,3040,冰雪后殿描述内容,3660
70,洪荒海岸,900,198,218,2822000,1152;1128;1127,42401;42402;42403;42412;42414;42415;42520;42521;42522;42535;42516;42528;41576;41577;41578;41579;41580;41581;41582;41583;41584;41585;41586;41587;41588;40576;40577;40578;40579;40580;40581;40582;40583;40584;40585;40586;40587;40588,1041;1041;1041;2333;2333;2333;1875;1875;1875;1875;500;500;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206,42401;42402;42403;42412;42414;42415;42520;42521;42522;42535;42516;42528;41576;41577;41578;41579;41580;41581;41582;41583;41584;41585;41586;41587;41588;40576;40577;40578;40579;40580;40581;40582;40583;40584;40585;40586;40587;40588,3124;3124;3124;2333;2333;2333;1875;1875;1875;1875;500;500;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206;1206,208;209;210,3080,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,3080,洪荒海岸描述内容,3660
71,洪荒之海,900,203,220,2917000,1154;1059;1127,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41576;41577;41578;41579;41580;41581;41582;41583;41584;41585;41586;41587;41588;40576;40577;40578;40579;40580;40581;40582;40583;40584;40585;40586;40587;40588,1041;1041;1041;2333;2333;2333;1875;1875;1875;1875;250;250;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41576;41577;41578;41579;41580;41581;41582;41583;41584;41585;41586;41587;41588;40576;40577;40578;40579;40580;40581;40582;40583;40584;40585;40586;40587;40588,3124;3124;3124;2333;2333;2333;1875;1875;1875;1875;250;250;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225,211;212;213,3080,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,3080,洪荒之海描述内容,3660
72,洪荒码头,900,205,225,3029000,1152;1128;1127,42401;42402;42403;42404;42405;42406;42412;42414;42415;42521;42522;42535;42533;42516;42528;41576;41577;41578;41579;41580;41581;41582;41583;41584;41585;41586;41587;41588;40576;40577;40578;40579;40580;40581;40582;40583;40584;40585;40586;40587;40588,1041;1041;1041;1000;1000;1000;2333;2333;2333;1875;1875;1875;1875;250;250;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110,42401;42402;42403;42404;42405;42406;42412;42414;42415;42521;42522;42535;42533;42516;42528;41576;41577;41578;41579;41580;41581;41582;41583;41584;41585;41586;41587;41588;40576;40577;40578;40579;40580;40581;40582;40583;40584;40585;40586;40587;40588,3124;3124;3124;1000;1000;1000;2333;2333;2333;1875;1875;1875;1875;250;250;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110,214;215;216,3081,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,3081,洪荒码头描述内容,3660
73,诺亚方舟,900,208,229,3162000,1154;1059;1127,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41579;41580;41581;41582;41583;41584;41585;41586;41587;41588;41589;41590;41591;40579;40580;40581;40582;40583;40584;40585;40586;40587;40588;40589;40590;40591,1041;1041;1041;2333;2333;2333;1875;1875;1875;1875;250;250;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41579;41580;41581;41582;41583;41584;41585;41586;41587;41588;41589;41590;41591;40579;40580;40581;40582;40583;40584;40585;40586;40587;40588;40589;40590;40591,3124;3124;3124;2333;2333;2333;1875;1875;1875;1875;250;250;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225,217;218;219,3081,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,3081,诺亚方舟描述内容,3660
74,方舟甲板,900,213,231,3267000,1152;1128;1127,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41579;41580;41581;41582;41583;41584;41585;41586;41587;41588;41589;41590;41591;40579;40580;40581;40582;40583;40584;40585;40586;40587;40588;40589;40590;40591,1041;1041;1041;2333;2333;2333;1875;1875;1875;1875;250;250;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41579;41580;41581;41582;41583;41584;41585;41586;41587;41588;41589;41590;41591;40579;40580;40581;40582;40583;40584;40585;40586;40587;40588;40589;40590;40591,3124;3124;3124;2333;2333;2333;1875;1875;1875;1875;250;250;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225,220;221;222,3081,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,3081,方舟甲板描述内容,3660
75,船长室,900,215,236,3430000,1154;1059;1127,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41579;41580;41581;41582;41583;41584;41585;41586;41587;41588;41589;41590;41591;40579;40580;40581;40582;40583;40584;40585;40586;40587;40588;40589;40590;40591,1041;1041;1041;2333;2333;2333;1875;1875;1875;1875;250;250;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41579;41580;41581;41582;41583;41584;41585;41586;41587;41588;41589;41590;41591;40579;40580;40581;40582;40583;40584;40585;40586;40587;40588;40589;40590;40591,3124;3124;3124;2333;2333;2333;1875;1875;1875;1875;250;250;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225,223;224;225,3081,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,3081,船长室描述内容,3660
76,无尽之海,900,220,238,3573000,1152;1128;1127,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41579;41580;41581;41582;41583;41584;41585;41586;41587;41588;41589;41590;41591;40579;40580;40581;40582;40583;40584;40585;40586;40587;40588;40589;40590;40591,1041;1041;1041;2333;2333;2333;1875;1875;1875;1875;250;250;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41579;41580;41581;41582;41583;41584;41585;41586;41587;41588;41589;41590;41591;40579;40580;40581;40582;40583;40584;40585;40586;40587;40588;40589;40590;40591,3124;3124;3124;2333;2333;2333;1875;1875;1875;1875;250;250;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225,226;227;228,3080,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,3080,无尽之海描述内容,3660
